USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.1  0.3  23504 14808 ?        Ss   15:49   0:04 /sbin/init splash --- auto automatic-ubiquity noprompt
root         196  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_10]
root         197  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_10]
root         198  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_11]
root         199  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_11]
root         200  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_12]
root         201  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_12]
root         202  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_13]
root         203  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_13]
root         204  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_14]
root         205  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_14]
root         206  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_15]
root         207  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_15]
root         208  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_16]
root         209  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_16]
root         210  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_17]
root         211  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_17]
root         212  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_18]
root         213  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_18]
root         214  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_19]
root         215  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_19]
root         216  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_20]
root         217  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_20]
root         218  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_21]
root         219  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_21]
